season,episode,topic,time_range
"第一季：人类登场",1,"地球上出现了一种会讲故事的动物","约 30 万年前 — 7 万年前"
"第一季：人类登场",2,"智人为什么从非洲走向世界","约 20 万年前 — 5 万年前"
"第一季：人类登场",3,"人类不是唯一的人类：尼安德特人与丹尼索瓦人","约 40 万年前 — 4 万年前"
"第一季：人类登场",4,"火、石器和语言：人类最早的生存工具","约 100 万年前 — 5 万年前"
"第一季：人类登场",5,"小群体如何合作狩猎","约 30 万年前 — 1.2 万年前"
"第一季：人类登场",6,"人类为什么开始相信看不见的东西","约 10 万年前 — 1.2 万年前"
"第一季：人类登场",7,"冰河时代下的人类如何活下来","约 11.5 万年前 — 1.17 万年前"
"第一季：人类登场",8,"人类如何到达澳洲","约 7 万年前 — 5 万年前"
"第一季：人类登场",9,"人类如何进入美洲","约 3 万年前 — 1.3 万年前"
"第一季：人类登场",10,"采集狩猎社会真的落后吗","约 30 万年前 — 1.2 万年前"
"第一季：人类登场",11,"人类如何改变动物和生态","约 5 万年前 — 1.2 万年前"
"第一季：人类登场",12,"农业出现前夜：人类即将被土地绑定","约 1.5 万年前 — 公元前 10000 年"
"第二季：农业、定居与村落",13,"人类为什么开始种地","约公元前 10000 年 — 公元前 8000 年"
"第二季：农业、定居与村落",14,"小麦、水稻、玉米：不同土地上的选择","约公元前 10000 年 — 公元前 4000 年"
"第二季：农业、定居与村落",15,"人类驯化了植物，还是植物驯化了人类","约公元前 10000 年 — 公元前 6000 年"
"第二季：农业、定居与村落",16,"动物驯化：羊、牛、猪、马如何改变世界","约公元前 10000 年 — 公元前 3000 年"
"第二季：农业、定居与村落",17,"村落为什么出现","约公元前 10000 年 — 公元前 6000 年"
"第二季：农业、定居与村落",18,"仓库、粮食和贫富差距","约公元前 9000 年 — 公元前 5000 年"
"第二季：农业、定居与村落",19,"为什么粮食越多，人反而更累","约公元前 9000 年 — 公元前 5000 年"
"第二季：农业、定居与村落",20,"祭祀、祖先和早期信仰","约公元前 12000 年 — 公元前 4000 年"
"第二季：农业、定居与村落",21,"大河流域为什么容易长出复杂社会","约公元前 7000 年 — 公元前 3000 年"
"第二季：农业、定居与村落",22,"亚洲西部：新月沃地的早期农业","约公元前 10000 年 — 公元前 6000 年"
"第二季：农业、定居与村落",23,"亚洲东部：黄河、长江流域的人群变化","约公元前 10000 年 — 公元前 3000 年"
"第二季：农业、定居与村落",24,"农业之后，人类再也回不去了","约公元前 8000 年 — 公元前 4000 年"
"第三季：城市、文字与国家",25,"城市为什么会出现","约公元前 5000 年 — 公元前 3000 年"
"第三季：城市、文字与国家",26,"乌鲁克：人类早期城市机器","约公元前 4000 年 — 公元前 3000 年"
"第三季：城市、文字与国家",27,"文字最初不是用来写诗，而是用来记账","约公元前 3500 年 — 公元前 2500 年"
"第三季：城市、文字与国家",28,"神庙、仓库和书记员","约公元前 3500 年 — 公元前 2000 年"
"第三季：城市、文字与国家",29,"尼罗河边的人如何发明法老国家","约公元前 4000 年 — 公元前 3000 年"
"第三季：城市、文字与国家",30,"金字塔：不是奇观，而是国家动员能力","约公元前 2700 年 — 公元前 2200 年"
"第三季：城市、文字与国家",31,"印度河的人如何建造规划城市","约公元前 2600 年 — 公元前 1900 年"
"第三季：城市、文字与国家",32,"亚洲东部的人如何走向青铜王权","约公元前 3000 年 — 公元前 1600 年"
"第三季：城市、文字与国家",33,"甲骨文、青铜器和商王权力","约公元前 1600 年 — 公元前 1046 年"
"第三季：城市、文字与国家",34,"法律为什么出现：从习惯到法典","约公元前 2100 年 — 公元前 1700 年"
"第三季：城市、文字与国家",35,"战车、青铜和早期战争","约公元前 2000 年 — 公元前 1200 年"
"第三季：城市、文字与国家",36,"第一次文明大崩塌：青铜时代危机","约公元前 1200 年 — 公元前 1000 年"
"第四季：古典帝国与思想世界",37,"铁器如何改变战争和农业","约公元前 1200 年 — 公元前 500 年"
"第四季：古典帝国与思想世界",38,"波斯帝国：如何管理巨大疆域","约公元前 550 年 — 公元前 330 年"
"第四季：古典帝国与思想世界",39,"希腊城邦：小共同体如何发明公民政治","约公元前 800 年 — 公元前 338 年"
"第四季：古典帝国与思想世界",40,"雅典与斯巴达：两种完全不同的社会","约公元前 600 年 — 公元前 371 年"
"第四季：古典帝国与思想世界",41,"亚历山大：战争如何制造跨区域世界","公元前 336 年 — 公元前 323 年"
"第四季：古典帝国与思想世界",42,"亚洲东部如何被秦压成统一帝国","公元前 356 年 — 公元前 206 年"
"第四季：古典帝国与思想世界",43,"汉帝国：一套可以长期运行的国家机器","公元前 202 年 — 公元 220 年"
"第四季：古典帝国与思想世界",44,"罗马共和国：城市如何变成地中海霸主","公元前 509 年 — 公元前 27 年"
"第四季：古典帝国与思想世界",45,"罗马帝国：道路、法律和公民身份","公元前 27 年 — 公元 476 年"
"第四季：古典帝国与思想世界",46,"印度：佛教、帝国和阿育王","约公元前 563 年 — 公元前 185 年"
"第四季：古典帝国与思想世界",47,"美洲早期文明：没有欧亚条件，如何独立发展","约公元前 1500 年 — 公元 500 年"
"第四季：古典帝国与思想世界",48,"为什么这几个地方同时出现思想巨变","约公元前 800 年 — 公元前 200 年"
"第五季：宗教、贸易与欧亚网络",49,"西罗马崩溃后，欧洲如何重组","公元 476 年 — 公元 800 年"
"第五季：宗教、贸易与欧亚网络",50,"拜占庭：罗马并没有真正消失","公元 330 年 — 公元 1453 年"
"第五季：宗教、贸易与欧亚网络",51,"阿拉伯半岛的一群人如何建立伊斯兰共同体","公元 570 年 — 公元 632 年"
"第五季：宗教、贸易与欧亚网络",52,"阿拉伯帝国如何连接三大洲","公元 632 年 — 公元 1258 年"
"第五季：宗教、贸易与欧亚网络",53,"唐朝与长安：一个世界性城市","公元 618 年 — 公元 907 年"
"第五季：宗教、贸易与欧亚网络",54,"草原上的人如何影响农耕帝国","约公元前 300 年 — 公元 1300 年"
"第五季：宗教、贸易与欧亚网络",55,"丝绸之路不是一条路，而是一张人群网络","约公元前 200 年 — 公元 1400 年"
"第五季：宗教、贸易与欧亚网络",56,"宋朝：城市、商业和技术爆发","公元 960 年 — 公元 1279 年"
"第五季：宗教、贸易与欧亚网络",57,"印度洋贸易：季风如何连接世界","约公元 600 年 — 公元 1500 年"
"第五季：宗教、贸易与欧亚网络",58,"非洲的黄金、盐和帝国","约公元 300 年 — 公元 1600 年"
"第五季：宗教、贸易与欧亚网络",59,"美洲的玛雅、阿兹特克和印加","约公元 250 年 — 公元 1533 年"
"第五季：宗教、贸易与欧亚网络",60,"蒙古帝国：草原如何重组欧亚大陆","公元 1206 年 — 公元 1368 年"
"第六季：全球连接、工业化与现代世界",61,"1492 年：世界真正开始连成一张网","公元 1450 年 — 公元 1550 年"
"第六季：全球连接、工业化与现代世界",62,"大航海：海洋如何取代陆路","公元 1415 年 — 公元 1600 年"
"第六季：全球连接、工业化与现代世界",63,"哥伦布交换：植物、动物、疾病和人口灾难","公元 1492 年 — 公元 1700 年"
"第六季：全球连接、工业化与现代世界",64,"白银、贸易和早期全球经济","公元 1500 年 — 公元 1800 年"
"第六季：全球连接、工业化与现代世界",65,"欧洲殖民帝国如何扩张","公元 1500 年 — 公元 1900 年"
